recordnumber numeric;rely numeric;data numeric;cplx numeric;time numeric;stor numeric;virt numeric;turn numeric;acap numeric;aexp numeric;pcap numeric;vexp numeric;lexp numeric;modp numeric;tool numeric;sced numeric;loc numeric;actual numeric
1;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;25.9;117.6
2;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;24.6;117.6
3;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;7.7;31.2
4;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;8.2;36
5;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;9.7;25.2
6;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;2.2;8.4
7;1;1;0.91;1;1;1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;3.5;10.8
8;1;1;0.91;1;1;1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;66.6;352.8
9;1;1;1;1.34;1;1.1;0.86;1.04;1.56;1.16;1.3;1.15;1.3;1.15;1;7.5;72
10;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;-1.23;1.3;1.15;1.15;1;1;20;72
11;1;1;0.91;1;1;1;1.19;1.04;-1.21;1.16;1.3;1.15;1.15;1;1;6;24
12;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;-1.23;1.3;1.15;1.15;1;1;100;360
13;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;1.08;1.3;1;1.15;1;1;11.3;36
14;1;1;0.91;1;1;0.9;1.19;1.04;1.56;1.16;1.11;0.87;1.15;1;1;100;215
15;1;1;0.91;1;1;1;1.19;1.04;-1.21;1.16;1.3;1.15;1.15;1;1;20;48
16;1;1;0.91;1;1;1;1.19;1.04;1.21;1.08;1.3;0.87;1.15;1;1;100;360
17;1;1;0.91;1;1;1;1.19;1.04;-1.21;-1.23;1.3;1.15;1.15;1;1;150;324
18;1;1;0.91;1;1;1.1;1.19;1.04;1.56;1.16;1.3;1.15;1.15;1;1;31.5;60
19;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;1.16;1.3;1.15;1.15;1;1;15;48
20;1;1;0.91;1;1;1.1;1.19;1.04;1.56;1.08;1.3;1.15;1.15;1;1;32.5;60
21;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;19.7;60
22;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;66.6;300
23;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;29.5;120
24;1;1;1;0.91;1;1;1;1;1.56;1.16;1.3;1.07;1.15;1;1;15;90
25;1;1;0.91;1;1;1;1;1;1.56;1.16;1.3;1.07;1.15;1;1;38;210
26;1;1;1;1;1;1;1;1;1.56;1.16;1.3;1.07;1.15;1;1;10;48
27;1;0.7;0.91;0.82;0.83;1.1;0.86;1.1;1.56;1.08;1.11;1.15;-1.49;1.4;0.85;15.4;70
28;1;0.7;0.91;0.82;0.83;1.1;0.86;1.1;1.56;1.08;1.11;1.15;-1.49;1.4;0.85;48.5;239
29;1;0.7;0.91;0.82;0.83;1.1;0.86;1.1;1.56;1.08;1.11;1.15;-1.49;1.4;0.85;16.3;82
30;1;0.7;0.91;0.82;0.83;1.1;0.86;1.1;1.56;1.08;1.11;1.15;-1.49;1.4;0.85;12.8;62
31;1;0.7;0.91;0.82;0.83;1.1;0.86;1.1;1.56;1.08;1.11;1.15;-1.49;1.4;0.85;32.6;170
32;1;0.7;0.91;0.82;0.83;1.1;0.86;1.1;1.56;1.08;1.11;1.15;-1.49;1.4;0.85;35.5;192
84;0.86;1.17;0.82;0.82;1.49;1.1;1;1.1;-1.21;-1.23;1;0.87;1.3;1.15;1;41;599
89;0.86;1.17;0.82;0.82;1.49;1.1;1;1.1;-1.21;-1.23;1;0.87;1.3;1.15;1;24;430
91;0.71;0.86;0.82;1.34;1.49;1;1;1.04;1.56;1.16;1.66;1.15;1.3;1;1.15;165;4178.2
92;0.71;0.86;0.82;1.34;1.49;1;1;1.04;1.56;1.16;1.66;1.15;1.3;1;1.15;65;1772.5
93;0.71;0.86;0.82;1.34;1.49;1;1.19;1.04;1.56;1.16;1.66;1.15;1.3;1;1.15;70;1645.9
94;0.71;0.86;1.57;1.34;1.49;1;1;1.04;1.56;1.16;1.66;1.15;1.3;1;1.15;50;1924.5
97;0.71;1.17;0.82;0.82;1.49;1.1;1.19;1.04;1.06;1.08;1;1;1;1.15;1.15;7.25;648
98;0.71;0.86;0.82;1.34;1.49;1;1;1.04;1.56;1.16;1.66;1.15;1.3;1;1.15;233;8211
99;0.86;1;0.82;0.82;0.83;0.9;0.86;1;1.21;1.08;1.11;1;1.15;1;1.15;16.3;480
100;0.86;1;0.82;0.82;0.83;0.9;0.86;1;1.21;1.08;1.11;1;1.15;1;1.15;6.2;12
101;0.86;1;0.82;0.82;0.83;0.9;0.86;1;1.21;1.08;1.11;1;1.15;1;1.15;3;38
33;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;5.5;18
34;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;10.4;50
35;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;14;60
36;0.86;1;0.91;1;1;1;1;1;1.21;1.08;1.3;1.07;1.15;1;1;6.5;42
37;1;1;0.91;1;1;1;1;1;1.21;1.08;1.3;1.07;1.15;1;1;13;60
38;1;1;0.91;1;1;1;1;1;1.21;1.16;1.3;1.15;1.3;1.15;1;90;444
39;1;1;0.91;1;1;1;1;1;1.21;1.08;1.3;1.07;1.15;1;1;8;42
40;1;1;0.91;0.91;1;1;1;1;1.21;1.08;1.3;1.07;1.15;1;1;16;114
41;1;0.86;0.91;0.82;0.91;1.1;0.86;1.04;1.21;1.16;1.11;1.15;1.3;1;0.85;177.9;1248
42;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.16;1.3;1.07;1.3;0.75;1;302;2400
43;1;0.86;1.13;1;1;0.9;1;1.04;1.56;1.08;1.3;1.07;1.3;1.15;1;282.1;1368
44;0.86;0.86;1.13;1;1;1;0.86;1.04;1.56;1.08;1.3;1.07;1.3;1;1;284.7;973
45;0.86;0.86;1;1;1;1.1;1.19;1;1.56;1.16;1.3;1.15;1.15;1;1;79;400
46;1.19;1;1;1;1;1.1;1.19;1.04;1.56;-1.23;1.3;1.15;1;0.88;1.15;423;2400
47;1;1;1;1;1;1.1;1;1.04;-1.21;-1.23;1.11;1.15;1.3;1;1;190;420
48;1;1;0.91;1;0.91;1;1;1.04;1.56;1.08;1.3;1.15;1.3;1;1.15;47.5;252
49;0.71;1;1.57;0.91;0.91;1.1;1.19;1;1.56;1.08;1.3;1.07;1;1.15;1;21;107
50;1;0.86;0.91;0.82;1;1;0.86;1.04;1.56;1.16;1.3;1.15;1;0.88;1.15;78;571.4
51;1;0.86;0.91;0.82;1;1;0.86;1.04;1.56;1.16;1.3;1.15;1;0.88;1.15;11.4;98.8
52;1;0.86;0.91;0.82;1;1;0.86;1.04;1.56;1.16;1.3;1.15;1;0.88;1.15;19.3;155
53;0.86;1;0.82;0.91;0.91;1.1;0.86;1.04;1.21;1.08;1.66;1.15;1;1.4;1.15;101;750
54;0.86;1;0.91;0.91;0.91;1.1;0.86;1;1.56;1.08;1.3;1.07;1;1.4;1;219;2120
55;0.86;1;0.91;0.91;0.91;1.1;0.86;1;1.56;1.08;1.3;1.07;1;1.4;1;50;370
56;0.71;0.86;0.91;0.82;0.83;1;1;1.1;-1.21;-1.23;1.3;1.15;1.3;1.15;0.85;227;1181
57;1;0.86;0.82;1;1;1.1;1;1.04;1.21;-1.23;1.11;1.07;1.3;1;0.85;70;278
58;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;0.9;8.4
59;0.71;1.17;1.57;1.34;0.83;1.1;1.19;1.04;-1.21;1.16;1;1.15;0.87;0.75;1.15;980;4560
60;1;1.17;0.91;1;1;1.1;1.19;1.1;1.21;-1.23;1.66;1.15;1.15;0.88;1;350;720
61;0.86;1;1.57;0.91;0.91;1.1;1.19;1.04;1.21;1.08;1.66;1.15;1.3;1.15;1;70;458
62;0.86;1;1.57;0.91;0.91;1.1;1.19;1.04;1.21;1.08;1.66;1.15;1.3;1.15;1;271;2460
63;1;1;1;1;1;1.1;1.19;1.04;1.56;1.16;1.3;1.15;1.15;0.88;1;90;162
64;1;1;1;1;1;1.1;1.19;1.04;1.56;1.16;1.3;1.15;1.15;0.88;1;40;150
65;0.86;1;0.91;0.91;1;1.1;1.19;1.04;1.56;1.16;1.3;1.15;1.15;1;1;137;636
66;0.86;1;0.91;0.91;1;0.9;1.19;1.04;1.56;1.16;1.3;1.15;1.15;0.75;1;150;882
67;0.71;1;0.91;0.91;1;1.1;1.19;1.04;1.56;1.16;1.3;1.15;1.15;1;1;339;444
68;1.19;0.86;1.13;1;1;0.9;1.19;1.04;1.56;1.16;1.3;1.15;1.15;0.88;1;240;192
69;0.86;1;0.91;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;144;576
70;1;1.17;1;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;151;432
71;1;1.17;0.91;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;34;72
72;1;1;0.91;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;98;300
73;1;1;0.91;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;85;300
74;1;1.17;1;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;20;240
75;1;1.17;1;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;111;600
76;0.86;0.7;0.91;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;162;756
77;0.86;0.86;0.82;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;352;1200
78;0.86;1;0.82;1;0.83;1.1;1;1.04;1.56;1.16;1.66;1.15;1;0.88;0.85;165;97
79;0.86;1;0.82;0.91;0.91;1.1;0.71;1.04;1.21;1.08;1.66;1.15;1.3;1.4;1.15;60;409
80;0.86;1;0.82;0.91;0.91;1.1;0.71;1.04;1.21;1.08;1.66;1.15;1.3;1.4;1.15;100;703
81;0.86;0.7;0.82;1.34;1.49;0.9;0.86;1;1.21;1.08;1.11;1;1.15;1;1.15;32;1350
82;0.86;0.86;0.91;0.82;1.49;0.9;0.86;1.04;1.56;1.16;1.66;1.15;1.3;1;1;53;480
